SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,06-01-2021 08:30,37,"","",2.4e+06
2,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,01-02-2021 08:30,32,"","",790000
3,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,03-03-2021 08:30,26,"","",1.4e+07
4,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,05-04-2021 08:30,30,"","",2.2e+06
5,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,03-09-2021 08:30,40,"","",""
6,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,04-10-2021 08:30,30,"","",""
7,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,08-11-2021 08:30,60,"","",""
8,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.54636900,77.31259700,01-12-2021 08:30,77,"","",""
9,BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),CPCB,9,Uttar Pradesh,172,MUZAFFARNAGAR,JANSATH,-,-,-,-,-,-,-,-,29.49155100,77.99051400,27-01-2021 08:30,4.1,"",680,""
10,BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),CPCB,9,Uttar Pradesh,172,MUZAFFARNAGAR,JANSATH,-,-,-,-,-,-,-,-,29.49155100,77.99051400,25-06-2021 08:30,2.7,"",220,""
11,BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),CPCB,9,Uttar Pradesh,172,MUZAFFARNAGAR,JANSATH,-,-,-,-,-,-,-,-,29.49155100,77.99051400,11-08-2021 08:30,4,"",2200,""
12,BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),CPCB,9,Uttar Pradesh,172,MUZAFFARNAGAR,JANSATH,-,-,-,-,-,-,-,-,29.49155100,77.99051400,15-11-2021 08:30,3,"",1800,""
13,BANGANGA AT U/S IDRISHPUR (U.K.),CPCB,9,Uttar Pradesh,124,BAGHPAT,BAGHPAT,-,-,-,-,-,-,-,-,29.18405800,77.32613000,27-01-2021 08:30,3.6,"",170,""
14,BANGANGA AT U/S IDRISHPUR (U.K.),CPCB,9,Uttar Pradesh,124,BAGHPAT,BAGHPAT,-,-,-,-,-,-,-,-,29.18405800,77.32613000,25-06-2021 08:30,1.7,"",49,""
15,BANGANGA AT U/S IDRISHPUR (U.K.),CPCB,9,Uttar Pradesh,124,BAGHPAT,BAGHPAT,-,-,-,-,-,-,-,-,29.18405800,77.32613000,11-08-2021 08:30,4,"",22000,""
16,BANGANGA AT U/S IDRISHPUR (U.K.),CPCB,9,Uttar Pradesh,124,BAGHPAT,BAGHPAT,-,-,-,-,-,-,-,-,29.18405800,77.32613000,15-11-2021 08:30,2,"",200,""
17,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-01-2021 08:30,"","",2,""
18,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-02-2021 08:30,"","",2,""
19,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-03-2021 08:30,"","",2,""
20,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,08-04-2021 08:30,"","",2,""
21,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,04-05-2021 08:30,"","",2,""
22,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,09-06-2021 08:30,"","",2,""
23,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,06-07-2021 08:30,"","",2,""
24,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,04-08-2021 08:30,"","",2,""
25,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,04-09-2021 08:30,"","",2,""
26,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,12-10-2021 08:30,"","",2,""
27,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,02-11-2021 08:30,"","",2,""
28,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865000,76.50514400,01-12-2021 08:30,"","",2,""
29,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-01-2021 08:30,"","",2,""
30,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-02-2021 08:30,"","",2,""
31,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-03-2021 08:30,"","",2,""
32,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,08-04-2021 08:30,"","",2,""
33,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,04-05-2021 08:30,"","",2,""
34,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,09-06-2021 08:30,"","",2,""
35,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,06-07-2021 08:30,"","",2,""
36,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,04-08-2021 08:30,"","",2,""
37,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,04-09-2021 08:30,"","",2,""
38,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,12-10-2021 08:30,"","",2,""
39,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,02-11-2021 08:30,"","",2,""
40,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.88075300,76.61451400,01-12-2021 08:30,"","",2,""
41,BETWA AT SUKMA DUKMA DAM JHANSI (U.P.),CPCB,9,Uttar Pradesh,153,JHANSI,Jhansi,-,-,-,-,-,-,-,-,25.19304400,78.53914100,03-03-2021 08:30,4,"",1300,""
42,BETWA AT SUKMA DUKMA DAM JHANSI (U.P.),CPCB,9,Uttar Pradesh,153,JHANSI,Jhansi,-,-,-,-,-,-,-,-,25.19304400,78.53914100,08-09-2021 08:30,"","",1300,""
43,BETWA AT SUKMA DUKMA DAM JHANSI (U.P.),CPCB,9,Uttar Pradesh,153,JHANSI,Jhansi,-,-,-,-,-,-,-,-,25.19304400,78.53914100,07-12-2021 08:30,1.5,"",4500,""
44,BETWA BEFORE CONF. YAMUNA AT HAMIRPUR U.P.,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,25.94085000,80.15382200,27-09-2021 08:30,2.9,"","",""
45,BETWA BEFORE CONF. YAMUNA AT HAMIRPUR U.P.,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,25.94085000,80.15382200,27-10-2021 08:30,3,"","",""
46,BETWA BEFORE CONF. YAMUNA AT HAMIRPUR U.P.,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,25.94085000,80.15382200,25-11-2021 08:30,3.2,"","",""
47,BETWA BEFORE CONF. YAMUNA AT HAMIRPUR U.P.,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,25.94085000,80.15382200,21-12-2021 08:30,3.4,"","",""
48,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,26-01-2021 08:30,28,"","",""
49,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,24-02-2021 08:30,24,"","",""
50,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,22-03-2021 08:30,26,"","",""
51,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,22-04-2021 08:30,27,"","",""
52,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,28-05-2021 08:30,29,"","",""
53,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,21-06-2021 08:30,26,"","",""
54,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,19-07-2021 08:30,28,"",350,""
55,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,11-08-2021 08:30,26.5,"",280,""
56,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,06-09-2021 08:30,24,"",240,""
57,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,06-10-2021 08:30,26,"",210,""
58,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,18-11-2021 08:30,25,"",170,""
59,BHELLA RIVER AT LOHIYA BRIDGE D/S KASHIPUR,CPCB,9,Uttar Pradesh,176,RAMPUR,MILAK,-,-,-,-,-,-,-,-,29.14673200,78.98297500,14-12-2021 08:30,20,"",140,""
