SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),BOD_exceeds,FC_above_desirable,FC_exceeds_maximum,Pollution_Level
86,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,04-01-2021 08:30,2.0,790.0,False,True,False,Moderate Pollution
87,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,21-01-2021 08:30,2.6,1300.0,False,True,False,Moderate Pollution
88,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,18-02-2021 08:30,2.6,930.0,False,True,False,Moderate Pollution
89,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,28-02-2021 08:30,2.5,1100.0,False,True,False,Moderate Pollution
90,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,07-03-2021 08:30,2.7,1200.0,False,True,False,Moderate Pollution
91,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,21-03-2021 08:30,2.8,1400.0,False,True,False,Moderate Pollution
92,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,08-04-2021 08:30,2.7,1300.0,False,True,False,Moderate Pollution
93,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,27-04-2021 08:30,2.7,1100.0,False,True,False,Moderate Pollution
94,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,10-05-2021 08:30,2.6,1200.0,False,True,False,Moderate Pollution
95,GANGA AT ALLAHABAD D/S (SANGAM) U.P.,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.419206,81.900522,29-05-2021 08:30,2.8,1200.0,False,True,False,Moderate Pollution
